BatterID,PitcherID,OPS
10001009,10001154,0.85
10000089,10001345,1.007
10000084,10005311,1.55
10001011,10001154,0.817
10000718,10000786,0.91
10000499,10000113,0.683
10000854,10000113,0.654
10005589,10000113,3.057
10002082,10001345,1.285
10000073,10000113,1.1
10000990,10001154,1.046
10000209,10001150,1
10000485,10000113,0.399
10000311,10000372,1.5
10000219,10005311,1.571
10000304,10005311,1.167
10000137,10000981,0.75
10000317,10000372,1.319
10005445,10001345,1
10006662,10005311,0.733
10000489,10000786,0.764
10000406,10001154,0.664
10005299,10001154,0.5
10000918,10000113,0.72
10000723,10000372,1.417
10000734,10000786,0.833
10000584,10001154,0.786
10000126,10001345,0.625
10000593,10005311,0.856
10000487,10000113,0.7
10000312,10000372,0.585
10005834,10001154,0.573
10000598,10000786,0.49
10000719,10005311,0.334
10000908,10000786,0.334
10000600,10005311,0.667
10001133,10000372,0.333
10001322,10000981,0.222
10000442,10005311,0.384
10000768,10001345,0.5
10001918,10000113,0
10000590,10005311,0
10000137,10000432,0.829
10000870,10001187,0.822
10000442,10000342,0.897
10000859,10001187,1.009
10000081,10000193,1.076
10000312,10000193,0.809
10000304,10000342,1.24
10000311,10000193,0.963
10000689,10000001,1.159
10000317,10000193,1.137
10001133,10000193,0.773
10000129,10000432,0.792
10000125,10000432,0.5
10000593,10000342,1.3
10002054,10001064,1.7
10000600,10000342,2.001
10006662,10000342,0.927
10001043,10000001,0.718
10000214,10000249,0.651
10001314,10000564,1.269
10000681,10002046,1.142
10001185,10000001,1.462
10001179,10000001,0.667
10001322,10000432,0.594
10000857,10001187,0.874
10000357,10000564,1
10001173,10000001,0.956
10000258,10001064,0.717
10000493,10000001,0.917
10001052,10000249,0.376
10001170,10000001,0.594
10003295,10000931,0.666
10001123,10003325,0.833
10005741,10000001,1.089
10005306,10000001,0.5
10002087,10001187,0.523
10000994,10000432,0.464
10000045,10000432,0.266
10000343,10000564,0.967
10000499,10000117,0.533
10001130,10003325,0.453
10000266,10001064,0.334
10000261,10001064,0.334
10000684,10000249,0.286
10000352,10000564,0.971
10000121,10000432,0.429
10000723,10000193,0.25
